"19980301MatHan5_The_", "Matt Casters", "matt@innet.be", "The Netherlands", "Matt Casters", "Hans Segers", "3dan", "3dan", "", "", "1-0", "", "Game score", "Den Haag, Tokin 1998", "19980301", "5", "Scheveningen", "Amateur", "Even game", "P7g-7f P3c-3d P6g-6f P8c-8d R2h-6h S7a-6b K5i-4h K5a-4b K4h-3h K4b-3b K3h-2h G6a-5b S3i-3h S3a-4b S7i-7h P5c-5d B8h-7g S6b-5c P1g-1f P3d-3e G6i-5h S4b-3c P6f-6e P4c-4d P4g-4f S3c-3d G5h-4g G5b-4c S7h-6g P1c-1d S6g-5f B2b-3c P2g-2f P2c-2d S3h-2g K3b-3a P3g-3f P2d-2e P2fx2e R8b-2b N2i-3g P3ex3f G4gx3f P'3e G3f-2f P4d-4e S5fx4e B3cx7g+ N8ix7g B'5e S4ex3d G4cx3d S'4c G3d-3c P'3b G4ax3b S4cx3b+ G3cx3b G'6f S'3f G6fx5e P5dx5e G2fx3e S3fx2g+ K2hx2g S'4g S'3h P'3d S3hx4g P3dx3e N3g-4e S5c-4d B'8f S'4b B'2d R2bx2d P2ex2d B'2e P'3f P3ex3f S4gx3f B2ex3f K2gx3f P'3e K3f-4g S4dx4e R'7a K3a-2b S'2c K2b-3c S2cx3b+ K3cx3b B'2c K3b-4c B8fx4b+ K4cx4b R7a-4a+ K4b-3c +R4a-3b K3cx2d R6h-2h N'2e G'3d", "19980301"
"19980301MatMar4_The_", "Matt Casters", "matt@innet.be", "The Netherlands", "Matt Casters", "Marc Theeuwen", "3dan", "3dan", "", "", "1-0", "", "Game score", "Den Haag, Tokin 1998", "19980301", "4", "Scheveningen", "Amateur", "Even game", "P7g-7f P3c-3d P6g-6f S7a-6b S7i-6h P5c-5d P5g-5f P1c-1d P1g-1f P9c-9d R2h-5h S6b-5c K5i-4h S5c-6d B8h-7g R8b-5b S6h-6g G4a-3b K4h-3h S3a-4b K3h-2h S4b-3c S3i-3h S3c-4d G6i-5i K5a-4b G5i-4h P5d-5e P5fx5e S6dx5e P6f-6e P'5f B7g-8f K4b-4a P'5c S4dx5c S6gx5f S5ex5f R5hx5f P'5d S'4e G6a-6b N8i-7g P5d-5e R5f-4f B2b-1c P'5d S5cx5d S4ex5d R5bx5d P6e-6d P6cx6d S'4e R5d-5b B8fx6d B1cx4f P4gx4f G6b-6c P'5c G6cx5c B6dx5e N2a-3c N7g-6e G5c-6c P'5c R5b-6b S4ex3d S'4b B'5b R6bx5b P5cx5b+ K4ax5b R'8b P'6b R8bx8a+ S'6d P'5c G6cx5c N6ex5c+ K5bx5c B5ex3c+ G3bx3c S3dx3c B'8h N'4e K5c-5d G'5f S4bx3c +R8a-5a P'5c N'6f K5d-6c N4ex3c+ S'6e S'5b K6c-7b G5fx6e S6dx6e +R5ax6b", "19980301"
"19980228AreMat3_The_", "Matt Casters", "matt@innet.be", "The Netherlands", "Arend Van Oosten", "Matt Casters", "4dan", "3dan", "", "", "0-1", "", "Game score", "Den Haag, Tokin 1998", "19980228", "3", "Scheveningen", "Amateur", "Even game", "{A couple of times I came close to beating~Arend, but there had allways been something~missing in my play.~This time things are diffent though !~} P7g-7f P3c-3d P2g-2f P4c-4d S3i-4h B2b-3c P5g-5f P5c-5d G4i-5h R8b-5b K5i-6h K5a-6b K6h-7h K6b-7b S7i-6h S3a-3b P9g-9f P9c-9d S6h-5g K7b-8b P3g-3f S3b-4c P2f-2e G4a-3b G6i-6h R5b-5a P1g-1f P1c-1d P4g-4f S7a-7b S4h-4g P6c-6d R2h-3h S7b-6c P3f-3e P3dx3e R3hx3e P'3d R3e-3h P4d-4e P4fx4e B3cx8h+ K7hx8h B'2g S5g-4f B2gx3h+ S4gx3h N2a-3c B'4g G6a-7b S3h-3g P7c-7d S3g-3f N8a-7c G6h-7h L1a-1b G5h-6h R'4i G6h-5h R4i-6i+ P4e-4d S4cx4d B'7g P'4e S4f-3g P3d-3e S3f-2g P4e-4f S3gx4f S4d-4e S4fx4e N3cx4e S'4f N7c-6e B7g-6f +R6ix5h B4gx5h S'5g S4fx4e S5gx6f+ P6gx6f N6e-5g+ B5h-4i G'6h R'1h G6hx7h K8hx7h P5d-5e P7f-7e P7dx7e P'7c K8bx7c N'8e K7c-6b P'3d P'4h P'7c G7bx7c N8ex7c+ K6bx7c B4i-8e N'7d G'7i P8c-8d B8ex7d S6cx7d P3d-3c+ B'7f N'6h G'6g K7h-8h +N5gx6h G7ix6h G6gx6h S'7g B'7i K8h-9h N'8e {Black resigned}", "19980316"
"19980228MatTho2_The_", "Matt Casters", "matt@innet.be", "The Netherlands", "Matt Casters", "Thomas Majewski", "3dan", "1dan", "", "", "1-0", "", "Game score", "Den Haag, Tokin 1998", "19980228", "2", "Scheveningen", "Amateur", "Even game", "P7g-7f P8c-8d P6g-6f P3c-3d S7i-7h S7a-6b B8h-7g P5c-5d P5g-5f G6a-5b R2h-5h K5a-4b K5i-4h K4b-3b K4h-3h P1c-1d P1g-1f P8d-8e S7h-6g P7c-7d K3h-2h N8a-7c S3i-3h B2b-4d G6i-7h S3a-2b R5h-5i N2a-3c P6f-6e B4d-5c P5f-5e P5dx5e B7gx5e P8e-8f P'5d P8fx8g+ P5dx5c+ +P8gx7h +P5cx5b G4ax5b B5ex3c+ S2bx3c R5ix5b+ G'4b B'4a K3b-2b G'3b {Thomas resigned}", "19980301"
"19980228WolMat1_The_", "Matt Casters", "matt@innet.be", "The Netherlands", "Wolfgang Greb", "Matt Casters", "2kyu", "3dan", "", "", "0-1", "", "Game score", "Den Haag, Tokin 1998", "19980228", "1", "Scheveningen", "Amateur", "Even game", "P7g-7f P3c-3d S3i-4h P4c-4d P4g-4f B2b-3c S4h-4g S3a-3b K5i-6h R8b-4b S4g-5f K5a-6b R2h-4h K6b-7b G4i-5h G4a-5b K6h-7h K7b-8b P8g-8f P9c-9d P9g-9f S7a-7b K7h-8g P6c-6d S7i-7h P7c-7d P1g-1f P1c-1d P2g-2f S3b-4c K8g-9h G5b-6c S7h-8g N8a-7c G6i-7h P5c-5d N2i-1g L1a-1b N1g-2e B3c-2b P4f-4e P2c-2d P4ex4d S4cx4d P'4e S4d-5e S5fx5e B2bx5e B8hx5e P5dx5e P4e-4d S'6i G5h-6h S6ix7h+ G6hx7h P'4g R4hx4g B'6e R4g-4f P2dx2e P6g-6f N'5d P4d-4c+ N5dx4f +P4cx4b B6e-4g+ S'5b R'4h S5bx6a+ S7bx6a R'4a S'7i R4ax6a+ G'8h K9h-9g G8hx8g K9gx8g R4hx7h+ K8gx7h +B4g-6i", "19980301"
"19961101KunSat3_Japa", "Matt Casters", "matt@innet.be", "Japan", "Kunio Yonenaga", "Satoshi Murayama", "9dan", "8dan", "", "", "1-0", "Opening: Yagura", "Patrick Davin's Shogi Nexus website", "55th Jun'i-sen, A Group", "19961101", "3", "", "Professional", "Even game", "P7g-7f P8c-8d S7i-6h P3c-3d P6g-6f S7a-6b P5g-5f P5c-5d S3i-4h S3a-4b G6i-7h G4a-3b K5i-6i K5a-4a G4i-5h P7c-7d G5h-6g G6a-5b S6h-7g S4b-3c B8h-7i B2b-3a P3g-3f P4c-4d S4h-3g B3a-6d B7i-6h G5b-4c K6i-7i K4a-3a K7i-8h P8d-8e S3g-4f S6b-5c N2i-3g S3c-2d P2g-2f B6d-7c P1g-1f P3d-3e P3fx3e S2dx3e S4fx3e B7cx3g+ B6h-4f +B3gx2h B4fx2h P5d-5e B2hx5e S5c-6d B'7a R8b-7b B5ex4d G4cx4d S3ex4d P'4c P'3c N2ax3c S4dx3c+ G3bx3c N'2e R'3i N2ex3c+ R3ix3c+ P'3d +R3cx3d G'3e +R3d-3b P'3c +R3bx3c S'3d +R3c-4b P6f-6e S6dx6e S3dx4c+ +R4bx4c G3e-4d +R4c-4a B7a-5c+ S'4b +B5cx6c N'5b +B6cx7b P'6f G6g-6h N5bx4d R'3e G'3b R3ex6e P8e-8f R6ex6f P'6e R6fx6e N4dx5f G6h-6g P8fx8g K8hx8g P'8f S7gx8f N'9d G6gx5f N9dx8f K8gx8f +R4a-5b R6e-6a+ +R5bx6a +B7bx6a P'8e K8f-7g R'6d P'6f B'8f K7g-8h S'6i +B6a-5b S'4a +B5bx4a K3ax4a G7h-7i B8f-5i+ P'3c G3bx3c P'5c P'5a S'6h +B5i-5h N'4e +B5hx7f R'8b P'6b S'7g +B7f-3b G7ix6i R6d-3d R8bx6b+ K4a-3a N4ex3c+ S4bx3c +R6bx3b K3ax3b S'4c K3bx4c N'5e K4cx5c B'3a S3c-4b P'5d", "19980224"
"19961101TakKun4_Japa", "Matt Casters", "matt@innet.be", "Japan", "Taku Morishita", "Kunio Yonenaga", "8dan", "9dan", "", "", "1-0", "Opening: Yagura", "Patrick Davin's Shogi Nexus website", "55th Jun'i-sen, A Group", "19961101", "4", "", "Professional", "Even game", "P7g-7f P8c-8d S7i-6h P3c-3d P6g-6f S7a-6b P5g-5f P6c-6d G6i-7h S6b-6c S3i-4h S3a-4b K5i-6i P4c-4d G4i-5h P7c-7d P2g-2f S4b-4c G5h-6g N8a-7c P3g-3f P9c-9d P9g-9f G6a-5b P2f-2e G4a-3b P2e-2d P2cx2d R2hx2d P'2c R2d-2h P8d-8e S6h-7g P4d-4e N2i-3g R8b-8a B8h-7i K5a-6b P4g-4f P4ex4f B7ix4f S4c-5d P'4e R8a-4a K6i-7i N2a-3c P5f-5e S5d-4c K7i-8h P'4d B4f-6h P4dx4e S4h-4g P1c-1d S4g-5f S4c-4d P1g-1f P4e-4f B6hx4f S4d-3e P3fx3e R4ax4f S'4h P3dx3e P'3d R4f-4a P3dx3c+ B2bx3c N3g-4e B3c-2d P'3d P3e-3f P3d-3c+ G3bx3c P5e-5d S6cx5d N4ex3c+ B'4f +N3c-3b R4a-4d R2hx2d B4fx2d B'2f R4d-3d G'2e R3dx3b N'4d R3b-3a N4dx5b+ K6bx5b G2ex2d P2cx2d S5f-5e S5dx5e B'2b S'4b B2bx3a+ S4bx3a R'3c S3a-4b B2fx5c+ S4bx5c G'4c K5b-6a G4cx5c N'8f P8gx8f P8ex8f S'6b K6a-7b G5c-6c K7b-8a R3c-3a+ K8a-9b N'8d", "19980224"
"19961101TosKei4_Japa", "Matt Casters", "matt@innet.be", "Japan", "Toshiyuki Moriuchi", "Keiji Mori", "8dan", "9dan", "", "", "1-0", "Opening: Anaguma vs Shikenbisha", "Patrick Davin's Shogi Nexus website", "55th Jun'i-sen, A Group", "19961101", "4", "", "Professional", "Even game", "P7g-7f P3c-3d P2g-2f P4c-4d S3i-4h S3a-3b G4i-5h R8b-4b K5i-6h K5a-6b K6h-7h K6b-7b P5g-5f K7b-8b S4h-5g S3b-4c B8h-7g G4a-5b K7h-8h P9c-9d P2f-2e B2b-3c L9i-9h P9d-9e K8h-9i S7a-7b S7i-8h P6c-6d G6i-7i P7c-7d P3g-3f G5b-6c B7g-5i P1c-1d G5h-6h S4c-5d R2h-3h P4d-4e P3f-3e P3dx3e R3hx3e R4b-3b P6g-6f N8a-7c N2i-3g R3b-4b P2e-2d P2cx2d P5f-5e S5dx5e N3gx4e B3c-2b P4g-4f P9e-9f P9gx9f P'9g S8hx9g N7c-6e P'2c N6ex5g+ P2cx2b+ +N5gx6h G7ix6h S5ex4f R3e-3a+ P'4a P'4c R4bx4c +R3a-3d G'3c +R3d-3f S4f-3e N4ex3c+ N2ax3c +R3f-2g P'3f +R2g-6g S'5e P'4g", "19980224"
"19961101SatYas4_Japa", "Matt Casters", "matt@innet.be", "Japan", "Satoshi Murayama", "Yasumitsu Sato", "8dan", "8dan", "", "", "0-1", "Opening: Yokofudori", "Patrick Davin's Shogi Nexus website", "55th Jun'i-sen, A Group", "19961101", "4", "", "Professional", "Even game", "P7g-7f P3c-3d P2g-2f P8c-8d P2f-2e P8d-8e G6i-7h G4a-3b P2e-2d P2cx2d R2hx2d P8e-8f P8gx8f R8bx8f R2dx3d B2b-3c R3d-3f R8f-8d R3f-2f S3a-2b P'8g K5a-5b P1g-1f P1c-1d S3i-4h G6a-7b K5i-6i S7a-6b G4i-5i R8d-7d P1f-1e P1dx1e P'1b P'2e R2f-3f L1ax1b N2i-1g R7d-2d R3f-3e S2b-2c R3ex2e R2d-8d R2e-2f P'2d P'1c L1bx1c P'2e B3cx8h+ S7ix8h N2a-3c P8g-8f P1e-1f P8f-8e R8d-9d P2ex2d S2cx2d P'1d L1cx1d B'3f L1d-1e N1g-2e N3cx2e B3fx2e S2d-3e B2ex4c+ K5bx4c R2f-2a+ R9d-2d +R2ax2d S3ex2d R'2a R'2i N'3f S2d-2e R2ax8a+ G7b-7a +R8a-8d P5c-5d +R8d-7e N'5e P5g-5f S2ex3f P3gx3f B'2f N'4i B2fx4h+ G5ix4h B'2f K6i-5h S'6i K5h-5g B2fx4h+ K5gx4h R2i-2g+", "19980224"
"19961101KojAki4_Japa", "Matt Casters", "matt@innet.be", "Japan", "Koji Tanigawa", "Akira Shima", "9dan", "8dan", "", "", "1-0", "Opening: Bogin", "Patrick Davin's Shogi Nexus website", "55th Jun'i-sen, A Group", "19961101", "4", "", "Professional", "Even game", "P7g-7f P8c-8d S7i-6h P3c-3d B8h-7g P8d-8e G6i-7h G4a-3b S3i-3h S7a-7b P4g-4f S7b-8c P6g-6f S8c-8d S6h-6g S3a-4b S3h-4g K5a-4a S4g-5f P7c-7d P9g-9f P7d-7e P6f-6e B2bx7g+ G7hx7g S4b-3c P4f-4e K4a-3a B'4f R8b-9b G7g-7h P5c-5d P3g-3f K3a-2b G4i-5h P7ex7f S6gx7f R9b-7b S7f-6g B'7c B4fx7c+ S8dx7c B'4f L9a-9b N2i-3g S7c-7d G5h-4g B'7c B4fx7c+ N8ax7c N8i-7g P5d-5e S5fx5e N7cx6e N7gx6e S7dx6e N3g-2e P'5h K5i-4h N'6f B'8c N6fx7h+ B8cx7b+ G6ax7b N2ex3c+ N2ax3c N'4f B'5i K4h-3i B'2e S'4a N3cx4e R'5b N'4b P2g-2f G'3g P2fx2e G3gx4g N4fx3d K2b-1b B'2a", "19980224"
